List_Sr_No,Set_No,Set_Name,First_Name,Surname,Country,State_Association,DOB,Age,Specialism,Batting,Bowling,Test_caps,ODI_caps,T20_caps,IPL,Previous_IPL_Teams,Team_2022,IPL_2022_Matches,C_U_A,Base_Price_Lakhs
38,7,UAL1,Corbin,Bosch,South Africa,,10-09-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,0,RR,RR,0,Uncapped,20
39,7,UAL1,Priyam,Garg,India,UPCA,30-11-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,21,SRH,SRH,2,Uncapped,20
40,7,UAL1,Saurabh,Kumar,India,UPCA,01-05-1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
41,7,UAL1,Vivrant,Sharma,India,JKCA,30-10-1999,23,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
42,7,UAL1,Nishant,Sindhu,India,HCA,09-04-2004,18,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
43,7,UAL1,Sanvir,Singh,India,PCA,12-10-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
44,7,UAL1,Shashank,Singh,India,CSCSCA,21-11-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,10,"DD, RR, SRH",SRH,10,Uncapped,20
45,7,UAL1,Samarth,Vyas,India,SCA,28-11-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
46,8,UWK1,K.S.,Bharat,India,ACA,03-10-1993,29,WICKETKEEPER,RHB,-,,,,10,"RCB, DC",DC,2,Uncapped,20
47,8,UWK1,Mohammed,Azharuddeen,India,KCA,22-03-1994,29,WICKETKEEPER,RHB,-,,,,0,RCB,,,Uncapped,20
48,8,UWK1,Dinesh,Bana,India,HCA,15-09-2004,18,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
49,8,UWK1,Abhimanyu,Easwaran,India,CAB,06-09-1995,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
50,8,UWK1,N.,Jagadeesan,India,TNCA,24-12-1995,27,WICKETKEEPER,RHB,-,,,,7,CSK,CSK,2,Uncapped,20
51,8,UWK1,Sumit,Kumar,India,HCA,12-12-1995,27,WICKETKEEPER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
52,8,UWK1,Upendra Singh,Yadav,India,RSPB,08-10-1996,26,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
53,9,UFA1,Vaibhav,Arora,India,HPCA,14-12-1997,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,5,"KKR, PBKS",PBKS,5,Uncapped,20
54,9,UFA1,K.M.,Asif,India,KCA,24-07-1993,29,BOWLER,RHB,RIGHT ARM Fast,,,,3,CSK,CSK,0,Uncapped,30
55,9,UFA1,Mukesh,Kumar,India,CAB,12-10-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
56,9,UFA1,Shivam,Mavi,India,UPCA,26-11-1998,24,BOWLER,RHB,RIGHT ARM Fast,,,,32,KKR,KKR,6,Uncapped,40
57,9,UFA1,Lance,Morris,Australia,,28-03-1998,25,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,30
58,9,UFA1,Yash,Thakur,India,VCA,28-12-1998,24,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
59,9,UFA1,Mujtaba,Yousuf,India,JKCA,07-06-2002,20,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
60,10,USP1,Murugan,Ashwin,India,TNCA,08-09-1990,32,BOWLER,RHB,RIGHT ARM Leg Spin,,,,42,"RPS, DD,RCB,PBKS, MI",MI,8,Uncapped,20
61,10,USP1,Chintal,Gandhi,India,BCA,25-08-1994,28,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
62,10,USP1,Shreyas,Gopal,India,KSCA,04-09-1993,29,BOWLER,RHB,RIGHT ARM Leg Spin,,,,49,"MI,RR,SRH",SRH,1,Uncapped,20
63,10,USP1,S,Midhun,India,KCA,07-10-1994,28,BOWLER,RHB,RIGHT ARM Leg Spin,,,,1,RR,,,Uncapped,20
64,10,USP1,Izharulhuq,Naveed,Afghanistan,,10-11-2003,19,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
65,10,USP1,Himanshu,Sharma,India,RCA,06-06-1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
66,11,BA2,Travis,Head,Australia,,29-12-1993,29,BATSMAN,LHB,RIGHT ARM Off Spin,28,51,17,10,RCB,,,Capped,200
67,11,BA2,Will,Jacks,England,,21-11-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,,,2,,,,,Capped,150
68,11,BA2,Dawid,Malan,England,,03-09-1987,35,BATSMAN,LHB,RIGHT ARM Leg Spin,22,12,55,1,PBKS,,,Capped,150
69,11,BA2,Manish,Pandey,India,KSCA,10-09-1989,33,BATSMAN,RHB,-,,29,39,160,"MI, RCB,PWI, KKR, SRH, LSG",LSG,6,Capped,100
70,11,BA2,Sherfane,Rutherford,West Indies,,15-08-1998,24,BATSMAN,LHB,-,,,6,10,"DC, MI, RR, RCB",RCB,3,Capped,150
71,11,BA2,Mandeep,Singh,India,PCA,18-12-1991,31,BATSMAN,RHB,-,,,3,108,"KKR, RCB, PBKS, DC",DC,3,Capped,50
72,11,BA2,Paul,Stirling,Ireland,,03-09-1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,3,139,121,,,,,Capped,50
73,11,BA2,Rassie,Van Der Dussen,South Africa,,07-02-1989,34,BATSMAN,RHB,RIGHT ARM Off Spin,17,38,41,3,RR,RR,3,Capped,200
74,12,AL2,Daryl,Mitchell,New Zealand,,20-05-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,12,11,41,2,RR,RR,2,Capped,100
75,12,AL2,Mohammad,Nabi,Afghanistan,,01-01-1985,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,135,104,17,"SRH, KKR",KKR,0,Capped,100
76,12,AL2,Jimmy,Neesham,New Zealand,,17-09-1990,32,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,12,71,60,14,"DD, KXIP, MI, RR",RR,2,Capped,200
77,12,AL2,Wayne,Parnell,South Africa,,30-07-1989,33,ALL-ROUNDER,LHB,LEFT ARM Fast,6,69,53,26,"PWI, DD",,,Capped,75
78,12,AL2,Daniel,Sams,Australia,,27-10-1992,30,ALL-ROUNDER,RHB,LEFT ARM Fast,,,10,16,"DC, RCB, MI",MI,11,Capped,75
79,12,AL2,Dasun,Shanaka,Sri Lanka,,09-09-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,6,42,82,,,,,Capped,50
80,12,AL2,Romario,Shepherd,West Indies,,26-11-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,,18,23,3,SRH,SRH,3,Capped,50
81,13,FA2,Taskin,Ahmed,Bangladesh,,03-04-1995,28,BOWLER,LHB,RIGHT ARM Fast,11,51,46,,,,,Capped,50
82,13,FA2,Dushmanta,Chameera,Sri Lanka,,11-01-1992,31,BOWLER,RHB,RIGHT ARM Fast,12,42,52,12,LSG,LSG,12,Capped,50
83,13,FA2,Kyle,Jamieson,New Zealand,,30-12-1994,28,BOWLER,RHB,RIGHT ARM Fast,16,8,8,9,RCB,,,Capped,100
84,13,FA2,Riley,Meredith,Australia,,21-06-1996,26,BOWLER,RHB,RIGHT ARM Fast,,1,5,13,"PBKS, MI",MI,8,Capped,150
85,13,FA2,Blessing,Muzarabani,Zimbabwe,,02-10-1996,26,BOWLER,RHB,RIGHT ARM Fast,6,33,34,,,,,Capped,50
86,13,FA2,Sandeep,Sharma,India,UTCA,18-05-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,2,104,"SRH, PBKS",PBKS,5,Capped,50
87,14,WK2,Johnson,Charles,West Indies,,14-01-1989,34,WICKETKEEPER,RHB,-,,48,38,,,,,Capped,50
88,14,WK2,Andre,Fletcher,West Indies,,28-11-1987,35,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,25,54,,,,,Capped,50
89,14,WK2,Shai,Hope,West Indies,,10-11-1993,29,WICKETKEEPER,RHB,-,38,104,19,,,,,Capped,100
90,14,WK2,Tom,Latham,New Zealand,,02-04-1992,31,WICKETKEEPER,LHB,-,68,116,18,,,,,Capped,100
91,14,WK2,Ben,Mcdermott,Australia,,12-12-1994,28,WICKETKEEPER,RHB,-,,5,23,,,,,Capped,50
92,14,WK2,Joshua,Philippe,Australia,,01-06-1997,25,WICKETKEEPER,RHB,-,,3,10,5,RCB,,,Capped,75
93,14,WK2,Lorcan,Tucker,Ireland,,10-09-1996,26,WICKETKEEPER,RHB,-,,29,49,,,,,Capped,50
94,15,SP2,Piyush,Chawla,India,GUCA,24-12-1988,34,BOWLER,LHB,RIGHT ARM Leg Spin,3,25,7,165,"KXIP, KKR, CSK, MI",,,Capped,50
95,15,SP2,Amit,Mishra,India,HCA,24-11-1982,40,BOWLER,RHB,RIGHT ARM Leg Spin,22,36,10,154,"DCH, SRH, DC",,,Capped,50
96,15,SP2,Shahbaz,Nadeem,India,JSCA,12-08-1989,33,BOWLER,RHB,LEFT ARM Slow Orthodox,2,,,72,"SRH, DD, RCB, LSG",LSG,0,Capped,50
97,15,SP2,Ish,Sodhi,New Zealand,,31-10-1992,30,BOWLER,RHB,RIGHT ARM Leg Spin,17,37,88,8,RR,,,Capped,75
98,16,UBA2,Sachin,Baby,India,KCA,18-12-1988,34,BATSMAN,LHB,RIGHT ARM Off Spin,,,,19,"RR, SRH, RCB",,,Uncapped,20
99,16,UBA2,Harpreet,Bhatia,India,CSCSCA,11-08-1991,31,BATSMAN,LHB,RIGHT ARM Medium,,,,4,"KKR, PWI, RCB",,,Uncapped,20
100,16,UBA2,Ashwin,Hebbar,India,ACA,15-11-1995,27,BATSMAN,RHB,RIGHT ARM Fast,,,,0,DC,DC,0,Uncapped,20
101,16,UBA2,Pukhraj,Mann,India,PCA,07-06-2001,21,BATSMAN,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
102,16,UBA2,Akshat,Raghuwanshi,India,MPCA,15-09-2003,19,BATSMAN,RHB,-,,,,,,,,Uncapped,20
103,16,UBA2,Himanshu,Rana,India,HCA,01-10-1998,24,BATSMAN,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
104,16,UBA2,Shoun,Roger,India,KCA,16-10-2002,20,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
105,16,UBA2,Virat,Singh,India,JSCA,08-12-1997,25,BATSMAN,LHB,RIGHT ARM Off Spin,,,,3,SRH,,,Uncapped,20
106,16,UBA2,Will,Smeed,England,,26-10-2001,21,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,40
107,16,UBA2,Apoorv,Wankhade,India,VCA,14-03-1992,31,BATSMAN,RHB,-,,,,0,"MI, KKR",,,Uncapped,30
108,17,UAL2,Manoj,Bhandage,India,KSCA,05-10-1998,24,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
109,17,UAL2,Gerald,Coetzee,South Africa,,02-10-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
110,17,UAL2,Mayank,Dagar,India,HPCA,11-11-1996,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,0,KXIP,,,Uncapped,20
111,17,UAL2,Duan,Jansen,South Africa,,01-05-2000,22,ALL-ROUNDER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,20
112,17,UAL2,Evan,Jones,South Africa,,05-08-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
113,17,UAL2,Prerak,Mankad,India,SCA,23-04-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,0,PBKS,PBKS,0,Uncapped,20
114,17,UAL2,Abid,Mushtaq,India,JKCA,17-01-1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
115,17,UAL2,Suryansh,Shedge,India,MCA,29-01-2003,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
116,17,UAL2,Jagadeesha,Suchith,India,KSCA,16-01-1994,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,22,"MI, DC, KXIP, SRH",SRH,5,Uncapped,20
117,17,UAL2,Akash,Vashisht,India,HPCA,17-12-1994,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
118,18,UWK2,Ricky,Bhui,India,ACA,29-09-1996,26,WICKETKEEPER,RHB,-,,,,2,SRH,,,Uncapped,20
119,18,UWK2,Donovan,Ferreira,South Africa,,21-07-1998,24,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
120,18,UWK2,Baba,Indrajith,India,TNCA,08-07-1994,28,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,,3,KKR,KKR,3,Uncapped,20
121,18,UWK2,Sheldon,Jackson,India,SCA,27-09-1986,36,WICKETKEEPER,RHB,-,,,,9,KKR,KKR,5,Uncapped,20
122,18,UWK2,Aryan,Juyal,India,UPCA,11-11-2001,21,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,0,MI,MI,0,Uncapped,20
123,18,UWK2,Urvil,Patel,India,GUCA,17-10-1998,24,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
124,18,UWK2,Kirant,Shinde,India,ACA,19-09-1997,25,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
125,18,UWK2,Luvnith,Sisodia,India,KSCA,15-01-2000,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,0,RCB,RCB,0,Uncapped,20
126,18,UWK2,Vishnu,Solanki,India,BCA,15-10-1992,30,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
127,18,UWK2,Vishnu,Vinod,India,KCA,02-12-1993,29,WICKETKEEPER,RHB,-,,,,3,"RCB, DC, SRH",SRH,0,Uncapped,20
128,19,UFA2,Aniket,Choudhary,India,RCA,28-01-1990,33,BOWLER,RHB,LEFT ARM Fast Medium,,,,5,RCB,,,Uncapped,30
129,19,UFA2,Vidwath,Kaverappa,India,KSCA,25-02-1999,24,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
130,19,UFA2,Rajan,Kumar,India,CAU,08-07-1996,26,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20
131,19,UFA2,Ravi,Kumar,India,CAB,29-10-2003,19,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
132,19,UFA2,Sushant,Mishra,India,JSCA,23-12-2000,22,BOWLER,LHB,LEFT ARM Fast,,,,0,SRH,SRH,0,Uncapped,20
133,19,UFA2,Arzan,Nagwaswalla,India,GUCA,17-10-1997,25,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
134,19,UFA2,Ishan,Porel,India,CAB,05-09-1998,24,BOWLER,RHB,RIGHT ARM Fast Medium,,,,1,PBKS,PBKS,0,Uncapped,20
135,19,UFA2,Akash,Singh,India,NCA,26-04-2002,20,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Uncapped,20
136,19,UFA2,Basil,Thampi,India,KCA,11-09-1993,29,BOWLER,RHB,RIGHT ARM Fast,,,,25,"GL, SRH, MI",MI,5,Uncapped,20
137,19,UFA2,Paul,Van Meekeren,Netherland,,15-01-1993,30,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Associate,20
138,19,UFA2,Vyshak,Vijay Kumar,India,KSCA,31-01-1997,26,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
139,20,USP2,S.Ajith,Ram,India,TNCA,05-09-1998,24,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
140,20,USP2,Satyajeet,Bachhav,India,MACA,28-11-1992,30,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
141,20,USP2,Tejas,Baroka,India,DDCA,01-02-1996,27,BOWLER,RHB,RIGHT ARM Leg Spin,,,,1,"GL, RR",RR,0,Uncapped,20
142,20,USP2,Yuvraj,Chudasama,India,SCA,23-11-1995,27,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
143,20,USP2,Peter,Hatzoglou,Australia,,27-11-1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
144,20,USP2,Karthik,Meiyappan,UAE,,08-10-2000,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Associate,20
145,20,USP2,Suyash,Sharma,India,DDCA,15-05-2003,19,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
146,20,USP2,Shivam,Sharma,India,UPCA,14-11-1995,27,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
147,21,BA3,Reeza,Hendricks,South Africa,,14-08-1989,33,BATSMAN,RHB,-,,26,48,,,,,Capped,50
148,21,BA3,Christiaan,Jonker,South Africa,,24-09-1986,36,BATSMAN,RHB,RIGHT ARM Fast Medium,,2,2,,,,,Capped,50
149,21,BA3,Brandon,King,West Indies,,16-12-1994,28,BATSMAN,RHB,RIGHT ARM Off Spin,,20,32,,,,,Capped,50
150,21,BA3,Chris,Lynn,Australia,,10-04-1990,32,BATSMAN,RHB,-,,4,18,42,"DCH, KKR, MI",,,Capped,200
151,21,BA3,Karun,Nair,India,KSCA,06-12-1991,31,BATSMAN,RHB,RIGHT ARM Off Spin,6,2,,76,"RCB, DD, KXIP, KKR, RR",RR,3,Capped,50
152,21,BA3,Pathum,Nissaanka,Sri Lanka,,18-05-1998,24,BATSMAN,RHB,-,9,17,36,,,,,Capped,50
153,21,BA3,Jason,Roy,England,,21-07-1990,32,BATSMAN,RHB,-,5,110,64,13,"GL, DC, SRH, GT",GT,0,Capped,150
154,21,BA3,Gurkeerat,Singh,India,PCA,29-06-1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,,3,,41,"KXIP, DD, RCB, KKR, GT",GT,0,Capped,50
155,21,BA3,Harry,Tector,Ireland,,06-12-1999,23,BATSMAN,RHB,RIGHT ARM Off Spin,,23,51,,,,,Capped,50
156,21,BA3,Najibullah,Zadran,Afghanistan,,18-02-1993,30,BATSMAN,LHB,RIGHT ARM Off Spin,,82,86,,,,,Capped,50
157,22,AL3,Sean,Abbott,Australia,,29-02-1992,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,,7,9,3,"RCB, SRH",SRH,1,Capped,150
158,22,AL3,Qais,Ahmad,Afghanistan,,15-08-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,1,2,,,,,Capped,50
159,22,AL3,Charith,Asalanka,Sri Lanka,,29-06-1997,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,3,16,31,,,,,Capped,50
160,22,AL3,Michael,Bracewell,New Zealand,,14-02-1991,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,2,12,13,,,,,Capped,100
161,22,AL3,Dominic,Drakes,West Indies,,06-02-1998,25,ALL-ROUNDER,LHB,LEFT ARM Fast,,,10,0,GT,GT,0,Capped,50
162,22,AL3,George,Garton,England,,15-04-1997,25,ALL-ROUNDER,LHB,LEFT ARM Fast,,,1,5,RCB,,,Capped,50
163,22,AL3,Chamika,Karunaratne,Sri Lanka,,29-05-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,1,18,38,0,KKR,KKR,0,Capped,50
164,22,AL3,Jamie,Overton,England,,10-04-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,1,,,,,,,Capped,200
165,22,AL3,Sandeep,Warrier,India,TNCA,04-04-1991,32,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,1,5,KKR,,,Capped,50
166,23,FA3,Ben,Dwarshuis,Australia,,23-06-1994,28,BOWLER,LHB,LEFT ARM Fast,,,1,0,"KXIP, DC",,,Capped,50
167,23,FA3,Richard,Gleeson,England,,02-12-1987,35,BOWLER,RHB,RIGHT ARM Fast,,,6,,,,,Capped,50
168,23,FA3,Naveen Ul,Haq,Afghanistan,,23-09-1999,23,BOWLER,RHB,RIGHT ARM Fast Medium,,7,22,,,,,Capped,50
169,23,FA3,Lahiru,Kumara,Sri Lanka,,13-02-1997,26,BOWLER,LHB,RIGHT ARM Fast,24,13,25,,,,,Capped,50
170,23,FA3,Joshua,Little,Ireland,,01-11-1999,23,BOWLER,RHB,LEFT ARM Fast,,22,53,,,,,Capped,50
171,23,FA3,Dilshan,Madushanka,Sri Lanka,,18-09-2000,22,BOWLER,LHB,LEFT ARM Fast,,,6,,,,,Capped,50
172,23,FA3,Mohit,Sharma,India,HCA,18-09-1988,34,BOWLER,RHB,RIGHT ARM Fast Medium,,26,8,86,"KXIP,CSK,DC",,,Capped,50
173,23,FA3,Billy,Stanlake,Australia,,04-11-1994,28,BOWLER,RHB,RIGHT ARM Fast,,7,19,6,"RCB, SRH",,,Capped,50
174,23,FA3,Andrew,Tye,Australia,,12-12-1986,36,BOWLER,RHB,RIGHT ARM Fast Medium,,7,32,30,"GL, KXIP, RR, LSG",LSG,3,Capped,100
175,23,FA3,Luke,Wood,England,,02-08-1995,27,BOWLER,LHB,LEFT ARM Fast,,1,2,,,,,Capped,100
